Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771912828953,4233,4584,4374,4317,4369,4582,4555,4279,4427,4278,4234,4239,16.129032135009766,12.90322494506836,20,12.90322494506836,12.90322494506836,16.666667938232422,10.344827651977539,20,19.35483741760254,19.35483741760254,16.129032135009766,10,45605.94024658203,222052.11065673828,156990.76678466797,7629.769470214844,16525500416,4294963200,12055740416,3990515712
499,1771912828953,4233,4584,4374,4317,4369,4582,4555,4279,4427,4278,4234,4239,16.129032135009766,12.90322494506836,20,12.90322494506836,12.90322494506836,16.666667938232422,10.344827651977539,20,19.35483741760254,19.35483741760254,16.129032135009766,10,45605.941833496094,222052.119140625,156990.76959228516,7629.769470214844,16525500416,4294963200,12055740416,3990515712
500,1771912829453,4233,4584,4374,4317,4369,4582,4555,4279,4427,4278,4234,4239,13.72549057006836,6,26,6,10,10,8,24,8.163265228271484,6.122448921203613,18.367347717285156,4.081632614135742,45606.28503417969,222058.99615478516,156995.1381225586,7629.8035888671875,16525500416,4294963200,12073046016,3990515712
500,1771912829954,4233,4584,4374,4317,4369,4582,4555,4279,4427,4278,4234,4239,36.73469543457031,36.73469543457031,43.13725662231445,48,41.17647171020508,44,52,38,39.2156867980957,43.13725662231445,38.46154022216797,34.693878173828125,45606.76843261719,222084.55786132813,157018.08557128906,7629.9447021484375,16525500416,4294963200,12117655552,3990515712
499,1771912830454,4233,4584,4374,4317,4369,4582,4555,4279,4427,4278,4234,4239,61.224491119384766,66,63.26530456542969,70.5882339477539,60.000003814697266,62,68,66.66667175292969,62,64,57.142860412597656,60.000003814697266,45607.396484375,222117.19891357422,157047.7007446289,7630.312744140625,16525500416,4294963200,12115853312,3990167552
499,1771912830954,4233,4584,4374,4317,4369,4582,4555,4279,4427,4278,4234,4239,65.38461303710938,60.78431701660156,64,66,64.70588684082031,64,67.34693908691406,60.78431701660156,60.000003814697266,61.224491119384766,64,64.70588684082031,45608.04669189453,222148.7725830078,157076.3779296875,7630.6070556640625,16525500416,4294963200,12150370304,3990167552
499,1771912831454,4233,4584,4374,4317,4369,4582,4555,4279,4427,4278,4234,4239,69.38775634765625,70,65.30612182617188,67.34693908691406,68.75,65.30612182617188,74.50980377197266,66,67.34693908691406,68.62745666503906,64.58332824707031,67.34693908691406,45608.642028808594,222176.3715209961,157101.14306640625,7630.852722167969,16525500416,4294963200,12186136576,3990167552
499,1771912831955,4233,4584,4374,4317,4369,4582,4555,4279,4427,4278,4234,4239,27.08333396911621,27.08333396911621,33.333335876464844,32.65306091308594,31.37255096435547,29.411766052246094,32,31.37255096435547,30.000001907348633,26.530611038208008,38,27.08333396911621,45609.086181640625,222188.11108398438,157110.17193603516,7630.992858886719,16525500416,4294963200,12206313472,3990167552
499,1771912832454,4233,4584,4374,4317,4369,4582,4555,4279,4427,4278,4234,4239,33.333335876464844,28.571430206298828,28,32,31.25,29.16666603088379,30.000001907348633,26.530611038208008,32,30.000001907348633,42,30.000001907348633,45609.47784423828,222203.97583007813,157123.47424316406,7631.0777587890625,16525500416,4294963200,12212166656,3990167552
499,1771912832955,4233,4584,4374,4317,4369,4582,4555,4279,4427,4278,4234,4239,26.530611038208008,30.76923179626465,26.530611038208008,30.76923179626465,29.411766052246094,29.411766052246094,32.65306091308594,26.530611038208008,32,26,30.612245559692383,28,45609.85900878906,222218.90600585938,157135.74481201172,7631.152893066406,16525500416,4294963200,12204257280,3990167552
500,1771912833455,4233,4584,4374,4317,4369,4582,4555,4279,4427,4278,4234,4239,14,8.163265228271484,10,10.416666030883789,11.764705657958984,12.244897842407227,14,13.72549057006836,10,8.163265228271484,16,10,45610.19305419922,222225.36700439453,157139.64263916016,7631.2413330078125,16525500416,4294963200,12207280128,3990167552
499,1771912833955,4233,4584,4374,4317,4369,4582,4555,4279,4427,4278,4234,4239,8.163265228271484,2.040816307067871,4,6,6,7.843137741088867,6.122448921203613,8,4.081632614135742,5.882352828979492,2.040816307067871,4,45610.48132324219,222228.58502197266,157140.3780517578,7631.255310058594,16525500416,4294963200,12196237312,3990167552
499,1771912834456,4233,4584,4374,4317,4369,4582,4555,4279,4427,4278,4234,4239,20.40816307067871,8.163265228271484,10.416666030883789,14.583333015441895,10.204081535339355,12.244897842407227,12,12,12,12,16,15.686275482177734,45610.800720214844,222233.51434326172,157142.76983642578,7631.292236328125,16525500416,4294963200,12205404160,3990167552
499,1771912834956,4233,4584,4374,4317,4369,4582,4555,4279,4427,4278,4234,4239,9.803921699523926,3.9215688705444336,7.692307949066162,4,0,4.081632614135742,2.040816307067871,2.040816307067871,2.0833334922790527,4.1666669845581055,5.882352828979492,2.040816307067871,45611.08172607422,222236.5906982422,157143.37994384766,7631.300842285156,16525500416,4294963200,12196327424,3990167552
499,1771912835456,4233,4584,4374,4317,4369,4582,4555,4279,4427,4278,4234,4239,10.204081535339355,10.204081535339355,8.163265228271484,8.163265228271484,11.764705657958984,8.163265228271484,10,8.163265228271484,8,12,10,10,45611.40069580078,222242.5014038086,157146.78497314453,7631.334899902344,16525500416,4294963200,12194455552,3990167552
