Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771814976937,7265.109939575195,28000,1,0.79375,8671.557571411133,28000,1,0.79375,6843.770843505859,28000,1,0.79375,8580.596084594727,28000,1,0.79375,4525.204315185547,4800,2,0.79375,4512.205596923828,4800,2,0.79375,4527.670593261719,4800,2,0.79375,4521.156066894531,4800,2,0.79375,4564.234558105469,4800,2,0.79375,4679.961151123047,4800,2,0.79375,186739.98193359375,1989,1991,1990,623,1989,1989,1401,623,1401,1399,623,1402,623,1989,623,1402,1400,1402,1402,1402,6.6666669845581055,12.121212005615234,6.45161247253418,3.3333334922790527,3.3333334922790527,9.375,3.22580623626709,6.25,6.25,3.3333334922790527,3.22580623626709,0,3.22580623626709,3.3333334922790527,9.090909004211426,3.22580623626709,3.22580623626709,6.25,6.45161247253418,3.4482758045196533,28659011584,8589930496,2854907904,0
500,1771814976937,7265.109970092773,28000,1,0.54375,8671.557739257813,28000,1,0.54375,6843.771057128906,28000,1,0.54375,8580.596115112305,28000,1,0.54375,4525.204330444336,4800,2,0.54375,4512.20817565918,4800,2,0.54375,4527.672760009766,4800,2,0.54375,4521.15608215332,4800,2,0.54375,4564.234573364258,4800,2,0.54375,4679.961166381836,4800,2,0.54375,186739.9895324707,1989,1991,1990,623,1989,1989,1401,623,1401,1399,623,1402,623,1989,623,1402,1400,1402,1402,1402,6.6666669845581055,12.121212005615234,6.45161247253418,3.3333334922790527,3.3333334922790527,9.375,3.22580623626709,6.25,6.25,3.3333334922790527,3.22580623626709,0,3.22580623626709,3.3333334922790527,9.090909004211426,3.22580623626709,3.22580623626709,6.25,6.45161247253418,3.4482758045196533,28659011584,8589930496,2855653376,0
499,1771814977438,7265.159454345703,28000,1,0.9812500000000001,8671.600799560547,28000,1,0.9812500000000001,6843.805725097656,28000,1,0.9812500000000001,8580.645751953125,28000,1,0.9812500000000001,4525.2183837890625,4800,2,0.9812500000000001,4512.216827392578,4800,2,0.9812500000000001,4527.675964355469,4800,2,0.9812500000000001,4521.172653198242,4800,2,0.9812500000000001,4564.241134643555,4800,2,0.9812500000000001,4679.982162475586,4800,2,0.9812500000000001,186742.26307678223,1989,1991,1990,623,1989,1989,1401,623,1401,1399,623,1402,623,1989,623,1402,1400,1402,1402,1402,5.882352828979492,4,2,6,0,0,3.9215688705444336,2,2,5.882352828979492,0,4,2.040816307067871,6,2,2,0,0,2,4,28659011584,8589930496,2859843584,0
499,1771814977938,7265.382400512695,28000,1,0.9812500000000001,8671.821838378906,28000,1,0.9812500000000001,6843.964111328125,28000,1,0.9812500000000001,8580.943984985352,28000,1,0.9812500000000001,4525.332946777344,4800,2,0.9812500000000001,4512.298934936523,4800,2,0.9812500000000001,4527.7608642578125,4800,2,0.9812500000000001,4521.277389526367,4800,2,0.9812500000000001,4564.321426391602,4800,2,0.9812500000000001,4680.073226928711,4800,2,0.9812500000000001,186745.8274078369,1989,1991,1990,623,1989,1989,1401,623,1401,1399,623,1402,623,1989,623,1402,1400,1402,1402,1402,28,28,32,26.530611038208008,25.490198135375977,30.000001907348633,26,24.489795684814453,22,26.530611038208008,27.45098114013672,28,17.647058486938477,42,26,16,18.75,26.530611038208008,18,18.367347717285156,28659011584,8589930496,2878713856,0
499,1771814978438,7265.80924987793,28000,1,0.96875,8672.234954833984,28000,1,0.96875,6844.367034912109,28000,1,0.96875,8581.407852172852,28000,1,0.96875,4525.5625,16400,2,0.96875,4512.559036254883,16400,2,0.96875,4528.000747680664,16400,2,0.96875,4521.516204833984,16400,2,0.96875,4564.563491821289,16400,2,0.96875,4680.331405639648,16400,2,0.96875,186751.32598876953,1989,1991,1990,623,1989,1989,1401,623,1401,1399,623,1402,623,1989,623,1402,1400,1402,1402,1402,34.693878173828125,38,66,66,63.26530456542969,66.66667175292969,52,62,61.224491119384766,58,53.061222076416016,68,40,60.000003814697266,48,50,47.05882263183594,50,44.89795684814453,48,28659011584,8589930496,2911768576,0
499,1771814978938,7266.363922119141,28000,1,0.9125,8672.77133178711,28000,1,0.9125,6844.960647583008,28000,1,0.9125,8582.01333618164,28000,1,0.9125,4525.9931640625,28000,1,0.9125,4512.990798950195,28000,1,0.9125,4528.404998779297,28000,1,0.9125,4521.95068359375,28000,1,0.9125,4564.982971191406,28000,1,0.9125,4680.730575561523,28000,1,0.9125,186758.54258728027,1989,1991,1990,623,1989,1989,1401,623,1401,1399,623,1402,623,1989,623,1402,1400,1402,1402,1402,46.938777923583984,55.1020393371582,65.30612182617188,54.90196228027344,67.30769348144531,73.46939086914063,62,68.62745666503906,60.000003814697266,68.62745666503906,52,68,64.70588684082031,59.18367385864258,57.142860412597656,56,48,58,64,34.693878173828125,28659011584,8589930496,2944114688,0
500,1771814979438,7266.9114990234375,28000,1,0.90625,8673.291412353516,28000,1,0.90625,6845.494125366211,28000,1,0.90625,8582.579956054688,28000,1,0.90625,4526.369583129883,28000,1,0.90625,4513.372253417969,28000,1,0.90625,4528.822113037109,28000,1,0.90625,4522.33332824707,28000,1,0.90625,4565.377731323242,28000,1,0.90625,4681.167678833008,28000,1,0.90625,186765.4769897461,1989,1991,1990,623,1989,1989,1401,623,1401,1399,623,1402,623,1989,623,1402,1400,1402,1402,1402,52,50,64.70588684082031,55.1020393371582,64.58332824707031,54.90196228027344,64.70588684082031,52,64,59.18367385864258,68.62745666503906,66,48.979591369628906,68,40,46.938777923583984,59.18367385864258,49.01960754394531,41.17647171020508,61.224491119384766,28659011584,8589930496,2980900864,0
499,1771814979939,7267.026290893555,28000,1,0.9812500000000001,8673.453826904297,28000,1,0.9812500000000001,6845.604049682617,28000,1,0.9812500000000001,8582.761978149414,28000,1,0.9812500000000001,4526.433853149414,28000,1,0.9812500000000001,4513.436569213867,28000,1,0.9812500000000001,4528.886627197266,28000,1,0.9812500000000001,4522.399551391602,28000,1,0.9812500000000001,4565.459167480469,28000,1,0.9812500000000001,4681.263961791992,28000,1,0.95625,186768.5591430664,1989,1991,1990,623,1989,1989,1401,623,1401,1399,623,1402,623,1989,623,1402,1400,1402,1402,1402,10.204081535339355,16,14,14.285715103149414,14,16.32653045654297,12.244897842407227,8.163265228271484,12,15.686275482177734,8,14.285715103149414,10,25.490198135375977,6.122448921203613,11.764705657958984,11.764705657958984,8,8.333333969116211,10.204081535339355,28659011584,8589930496,2994618368,0
499,1771814980439,7267.2843017578125,28000,1,0.90625,8673.761581420898,28000,1,0.9125,6845.867034912109,28000,1,0.9125,8583.059051513672,28000,1,0.9125,4526.610992431641,28000,1,0.9125,4513.619979858398,28000,1,0.9125,4529.056442260742,28000,1,0.9125,4522.587203979492,28000,1,0.9125,4565.621765136719,28000,1,0.9125,4681.44775390625,28000,1,0.9125,186772.82452392578,1989,1991,1990,623,1989,1989,1401,623,1401,1399,623,1402,623,1989,623,1402,1400,1402,1402,1402,20.40816307067871,32.65306091308594,34.693878173828125,39.2156867980957,36,34,34,32,28.571430206298828,28.571430206298828,32,35.29411697387695,28.571430206298828,32.65306091308594,16,24,18,28.571430206298828,18,18,28659011584,8589930496,2977755136,0
499,1771814980939,7267.443099975586,28000,1,1.23125,8673.926742553711,28000,1,1.23125,6846.018127441406,28000,1,0.94375,8583.218978881836,28000,1,0.94375,4526.7144775390625,28000,1,0.94375,4513.733993530273,28000,1,0.94375,4529.158157348633,28000,1,0.94375,4522.7049560546875,28000,1,0.94375,4565.728561401367,28000,1,0.94375,4681.569625854492,28000,1,0.94375,186775.88311767578,1989,1991,1990,623,1989,1989,1401,623,1401,1399,623,1402,623,1989,623,1402,1400,1402,1402,1402,12,18,22,22,17.647058486938477,18,20,22,17.647058486938477,20,20,20.40816307067871,17.647058486938477,16,5.882352828979492,12.244897842407227,12,14.285715103149414,10,18,28659011584,8589930496,2981715968,0
