Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771885149497,2800,2800,2800,2799,2800,2800,2799,2799,2799,2800,2799,2800,59.25925827026367,55.55555725097656,51.85185241699219,51.72413635253906,50,44.82758712768555,70,55.17241287231445,50,58.620689392089844,39.28571319580078,55.17241287231445,27109.292846679688,21929.293029785156,95484.29901123047,6162.011169433594,16525500416,4294963200,13452218368,3811921920
499,1771885149497,2800,2800,2800,2799,2800,2800,2799,2799,2799,2800,2799,2800,59.25925827026367,55.55555725097656,51.85185241699219,51.72413635253906,50,44.82758712768555,70,55.17241287231445,50,58.620689392089844,39.28571319580078,55.17241287231445,27109.292846679688,21929.293029785156,95484.30590820313,6162.011169433594,16525500416,4294963200,13452218368,3811921920
499,1771885149997,2800,2800,2800,2799,2800,2800,2799,2799,2799,2800,2799,2800,66.66667175292969,64.70588684082031,60.000003814697266,66,64,57.142860412597656,70,64,58.82353210449219,62.74510192871094,83.67346954345703,64.70588684082031,27109.786987304688,21941.858276367188,95494.28967285156,6162.071472167969,16525500416,4294963200,13464416256,3811921920
500,1771885150497,2800,2800,2800,2799,2800,2800,2799,2799,2799,2800,2799,2800,64,77.55101776123047,68,71.42857360839844,69.38775634765625,66,66.66667175292969,71.42857360839844,75.51020050048828,77.55101776123047,82.35294342041016,80,27110.31072998047,21954.327026367188,95504.15600585938,6162.129638671875,16525500416,4294963200,13487136768,3811921920
499,1771885150998,2800,2800,2800,2799,2800,2800,2799,2799,2799,2800,2799,2800,83.33332824707031,68,77.55101776123047,68.62745666503906,69.38775634765625,74,70,82.35294342041016,71.42857360839844,92,69.38775634765625,81.63265228271484,27110.904541015625,21966.816833496094,95513.94989013672,6162.213317871094,16525500416,4294963200,13578436608,3811921920
499,1771885151499,2800,2800,2800,2799,2800,2800,2799,2799,2799,2800,2799,2800,80.39215850830078,72.54901885986328,90.19607543945313,83.67346954345703,74.50980377197266,100,80,75,68.62745666503906,76,76,71.42857360839844,27111.560607910156,21978.89453125,95523.3871459961,6162.265686035156,16525500416,4294963200,13708111872,3811921920
500,1771885151998,2800,2800,2800,2799,2800,2800,2799,2799,2799,2800,2799,2800,80,83.67346954345703,74,92,78,86,81.63265228271484,78.4313735961914,77.55101776123047,73.46939086914063,79.59183502197266,76.47058868408203,27112.142150878906,21991.44921875,95533.34735107422,6162.300537109375,16525500416,4294963200,13774209024,3811921920
499,1771885152500,2800,2800,2800,2799,2800,2800,2799,2799,2799,2800,2799,2800,79.59183502197266,66,63.26530456542969,70,68.75,66.66667175292969,63.26530456542969,96,78,68,68,79.59183502197266,27112.68701171875,22003.837341308594,95542.97998046875,6162.4864501953125,16525500416,4294963200,13825126400,3811921920
499,1771885152999,2800,2800,2800,2799,2800,2800,2799,2799,2799,2800,2799,2800,65.30612182617188,83.33332824707031,65.30612182617188,80,64,68,88.23529815673828,58,100,70,57.142860412597656,62,27113.222045898438,22016.16485595703,95552.65209960938,6162.5543212890625,16525500416,4294963200,13825949696,3811917824
499,1771885153499,2800,2800,2800,2799,2800,2800,2799,2799,2799,2800,2799,2800,78.84615325927734,73.07691955566406,66,65.30612182617188,68,67.34693908691406,69.38775634765625,59.18367385864258,83.67346954345703,70,68,70.83332824707031,27113.732849121094,22028.39013671875,95562.29992675781,6162.596008300781,16525500416,4294963200,13814181888,3811917824
499,1771885153999,2800,2800,2800,2799,2800,2800,2799,2799,2799,2800,2799,2800,58.33333206176758,68.75,65.30612182617188,65.30612182617188,46,48,64.15093994140625,53.061222076416016,89.79591369628906,51.020408630371094,48,76.92308044433594,27114.215759277344,22040.15252685547,95571.47436523438,6162.641296386719,16525500416,4294963200,13786198016,3811917824
500,1771885154499,2800,2800,2800,2799,2800,2800,2799,2799,2799,2800,2799,2800,48,54.000003814697266,58.82353210449219,54.000003814697266,60.000003814697266,62,55.1020393371582,94,64,56.86274719238281,64.70588684082031,61.224491119384766,27114.685485839844,22052.37725830078,95581.14288330078,6162.6953125,16525500416,4294963200,13805137920,3811917824
