Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771803960986,5621.443389892578,28000,1,0.9812500000000001,6833.963043212891,28000,1,0.9812500000000001,5256.280242919922,28000,1,0.9812500000000001,6744.592178344727,28000,1,0.9812500000000001,3481.928253173828,4800,2,0.9812500000000001,3468.250747680664,4800,2,0.9812500000000001,3476.7373046875,4800,2,0.9812500000000001,3471.608367919922,4800,2,0.9812500000000001,3501.896499633789,4800,2,0.9812500000000001,3599.357162475586,4800,2,0.9812500000000001,141895.21253967285,1985,623,623,1986,623,623,1401,1402,1401,1401,1401,623,1989,1985,623,623,623,623,623,1401,5.128205299377441,5.263157844543457,2.6315789222717285,2.6315789222717285,2.5641026496887207,2.5641026496887207,5.128205299377441,5.128205299377441,5.128205299377441,5.128205299377441,10,2.6315789222717285,5.128205299377441,2.6315789222717285,5.128205299377441,2.6315789222717285,2.6315789222717285,2.5641026496887207,5.128205299377441,2.6315789222717285,28659011584,8589930496,3158241280,0
499,1771803960986,5621.443405151367,28000,1,0.9812500000000001,6833.963043212891,28000,1,0.9812500000000001,5256.280242919922,28000,1,0.9812500000000001,6744.592864990234,28000,1,0.9812500000000001,3481.928268432617,4800,2,0.9812500000000001,3468.250747680664,4800,2,0.9812500000000001,3476.7373046875,4800,2,0.9812500000000001,3471.608367919922,4800,2,0.9812500000000001,3501.896499633789,4800,2,0.9812500000000001,3599.357421875,4800,2,0.9812500000000001,141895.2189025879,1985,623,623,1986,623,623,1401,1402,1401,1401,1401,623,1989,1985,623,623,623,623,623,1401,5.128205299377441,5.263157844543457,2.6315789222717285,2.6315789222717285,2.5641026496887207,2.5641026496887207,5.128205299377441,5.128205299377441,5.128205299377441,5.128205299377441,10,2.6315789222717285,5.128205299377441,2.6315789222717285,5.128205299377441,2.6315789222717285,2.6315789222717285,2.5641026496887207,5.128205299377441,2.6315789222717285,28659011584,8589930496,3158241280,0
499,1771803961486,5621.572967529297,28000,1,0.9812500000000001,6834.177154541016,28000,1,0.9812500000000001,5256.365783691406,28000,1,0.9812500000000001,6744.78303527832,28000,1,0.9812500000000001,3481.9644470214844,4800,2,0.9812500000000001,3468.297805786133,4800,2,0.9812500000000001,3476.7804565429688,4800,2,0.9812500000000001,3471.6539306640625,4800,2,0.9812500000000001,3501.9469451904297,4800,2,0.9812500000000001,3599.3919372558594,4800,2,0.9812500000000001,141898.32818603516,1985,623,623,1986,623,623,1401,1402,1401,1401,1401,623,1989,1985,623,623,623,623,623,1401,14.285715103149414,14,19.60784339904785,38,6,28.571430206298828,10,14,12,14,14.285715103149414,6,18,16,2,6,6,6,6,8,28659011584,8589930496,3205529600,0
499,1771803961986,5621.939926147461,28000,1,0.9812500000000001,6834.628356933594,28000,1,0.9812500000000001,5256.711853027344,28000,1,0.9812500000000001,6745.243789672852,28000,1,0.9812500000000001,3482.1285247802734,4800,2,0.9812500000000001,3468.4702758789063,4800,2,0.9812500000000001,3476.9683380126953,4800,2,0.9812500000000001,3471.829849243164,4800,2,0.9812500000000001,3502.1270294189453,4800,2,0.9812500000000001,3599.575958251953,4800,2,0.9812500000000001,141903.52815246582,1985,623,623,1986,623,623,1401,1402,1401,1401,1401,623,1989,1985,623,623,623,623,623,1401,47.05882263183594,53.061222076416016,40,60.000003814697266,46.938777923583984,66,48,47.05882263183594,46.938777923583984,48,48.979591369628906,45.09803771972656,42.85714340209961,54.90196228027344,29.16666603088379,41.17647171020508,43.13725662231445,36,42,42,28659011584,8589930496,3243757568,0
499,1771803962486,5622.33088684082,28000,1,0.91875,6835.054504394531,28000,1,0.91875,5257.042556762695,28000,1,0.91875,6745.733551025391,28000,1,0.91875,3482.3728637695313,28000,1,0.91875,3468.711181640625,28000,1,0.91875,3477.213424682617,28000,1,0.91875,3472.074188232422,28000,1,0.91875,3502.3782806396484,28000,1,0.91875,3599.8133850097656,28000,1,0.91875,141909.1358795166,1985,623,623,1986,623,623,1401,1402,1401,1401,1401,623,1989,1985,623,623,623,623,623,1401,55.1020393371582,48,56,58,52.94117736816406,63.26530456542969,59.18367385864258,61.224491119384766,54.000003814697266,51.020408630371094,60.78431701660156,51.020408630371094,24,68.75,41.17647171020508,42,46.938777923583984,56.86274719238281,40,48,28659011584,8589930496,3250442240,0
499,1771803962986,5622.908416748047,28000,1,0.91875,6835.663757324219,28000,1,0.91875,5257.611236572266,28000,1,0.91875,6746.307693481445,28000,1,0.91875,3482.813217163086,28000,1,0.91875,3469.1263885498047,28000,1,0.91875,3477.6473083496094,28000,1,0.91875,3472.487808227539,28000,1,0.91875,3502.8291015625,28000,1,0.91875,3600.230514526367,28000,1,0.91875,141916.92932128906,1985,623,623,1986,623,623,1401,1402,1401,1401,1401,623,1989,1985,623,623,623,623,623,1401,64,60.000003814697266,52,62,55.1020393371582,61.224491119384766,64,62,60.000003814697266,70,69.38775634765625,68,61.224491119384766,52,56,44.89795684814453,56,38.775508880615234,60.000003814697266,35.416664123535156,28659011584,8589930496,3289509888,0
499,1771803963486,5623.5086669921875,28000,1,0.91875,6836.279296875,28000,1,0.91875,5258.207412719727,28000,1,0.91875,6746.883941650391,28000,1,0.91875,3483.258087158203,28000,1,0.91875,3469.5659942626953,28000,1,0.91875,3478.060791015625,28000,1,0.91875,3472.9326782226563,28000,1,0.91875,3503.2609252929688,28000,1,0.91875,3600.661880493164,28000,1,0.91875,141924.90106201172,1985,623,623,1986,623,623,1401,1402,1401,1401,1401,623,1989,1985,623,623,623,623,623,1401,69.38775634765625,62,61.224491119384766,64.70588684082031,66,73.07691955566406,68,68,40,62,62,65.30612182617188,60.78431701660156,42,56,52,60.000003814697266,58.82353210449219,56,44.89795684814453,28659011584,8589930496,3296546816,0
499,1771803963986,5624.149368286133,28000,1,0.91875,6836.985488891602,28000,1,0.91875,5258.868423461914,28000,1,0.91875,6747.524002075195,28000,1,0.91875,3483.764877319336,28000,1,0.91875,3470.0570373535156,28000,1,0.91875,3478.544204711914,28000,1,0.91875,3473.4266357421875,28000,1,0.91875,3503.7367095947266,28000,1,0.91875,3601.125442504883,28000,1,0.91875,141933.4416809082,1985,623,623,1986,623,623,1401,1402,1401,1401,1401,623,1989,1985,623,623,623,623,623,1401,56,73.46939086914063,62.74510192871094,67.34693908691406,60.78431701660156,69.38775634765625,70.5882339477539,72,62,71.42857360839844,56,68.62745666503906,70,54.000003814697266,60.000003814697266,50,50,48.979591369628906,54.000003814697266,38,28659011584,8589930496,3334619136,0
499,1771803964486,5624.874252319336,28000,1,0.91875,6837.761779785156,28000,1,0.91875,5259.581298828125,28000,1,0.91875,6748.269714355469,28000,1,0.91875,3484.325454711914,28000,1,0.91875,3470.585235595703,28000,1,0.91875,3479.096710205078,28000,1,0.91875,3473.977569580078,28000,1,0.91875,3504.294143676758,28000,1,0.91875,3601.6620483398438,28000,1,0.91875,141943.05432128906,1985,623,623,1986,623,623,1401,1402,1401,1401,1401,623,1989,1985,623,623,623,623,623,1401,59.18367385864258,61.224491119384766,56.86274719238281,72,55.1020393371582,68,68,57.142860412597656,72,67.30769348144531,71.42857360839844,65.30612182617188,64,58,60.000003814697266,55.1020393371582,50,64,58,48,28659011584,8589930496,3326013440,0
499,1771803964986,5625.48957824707,28000,1,0.91875,6838.402908325195,28000,1,0.91875,5260.238021850586,28000,1,0.91875,6748.905731201172,28000,1,0.91875,3484.793182373047,28000,1,0.91875,3471.0660095214844,28000,1,0.91875,3479.5452575683594,28000,1,0.91875,3474.4790649414063,28000,1,0.91875,3504.7589569091797,28000,1,0.91875,3602.1546020507813,28000,1,0.91875,141951.56672668457,1985,623,623,1986,623,623,1401,1402,1401,1401,1401,623,1989,1985,623,623,623,623,623,1401,49.01960754394531,54.000003814697266,63.26530456542969,68,70.5882339477539,66.66667175292969,62,66.66667175292969,61.224491119384766,67.34693908691406,62.74510192871094,68.62745666503906,63.26530456542969,57.142860412597656,53.061222076416016,52,46,64.70588684082031,48.979591369628906,52,28659011584,8589930496,3310100480,0
499,1771803965486,5626.091156005859,28000,1,0.91875,6839.006072998047,28000,1,0.91875,5260.846786499023,28000,1,0.91875,6749.53205871582,28000,1,0.91875,3485.188522338867,28000,1,0.91875,3471.523712158203,28000,1,0.91875,3479.9786987304688,28000,1,0.91875,3474.9111328125,28000,1,0.91875,3505.175262451172,28000,1,0.91875,3602.6161499023438,28000,1,0.91875,141959.5714416504,1985,623,623,1986,623,623,1401,1402,1401,1401,1401,623,1989,1985,623,623,623,623,623,1401,56,68,70,55.1020393371582,64,70,46,58,64,66.66667175292969,71.42857360839844,68,68,70.5882339477539,48,64,46,40.81632614135742,30.000001907348633,56,28659011584,8589930496,3329499136,0
499,1771803965987,5626.677429199219,28000,1,0.91875,6839.634368896484,28000,1,0.91875,5261.472412109375,28000,1,0.91875,6750.1468505859375,28000,1,0.91875,3485.6204223632813,28000,1,0.91875,3471.9769134521484,28000,1,0.91875,3480.429901123047,28000,1,0.91875,3475.3502197265625,28000,1,0.91875,3505.607376098633,28000,1,0.91875,3603.0580291748047,28000,1,0.91875,141967.53004455566,1985,623,623,1986,623,623,1401,1402,1401,1401,1401,623,1989,1985,623,623,623,623,623,1401,53.061222076416016,68,62,68.62745666503906,68,65.30612182617188,64,72,56,69.38775634765625,66,69.38775634765625,72.54901885986328,60.000003814697266,54.90196228027344,50,63.26530456542969,46.938777923583984,50,40.81632614135742,28659011584,8589930496,3364761600,0
499,1771803966487,5627.243453979492,28000,1,0.91875,6840.2607421875,28000,1,0.91875,5262.081115722656,28000,1,0.91875,6750.756942749023,28000,1,0.91875,3486.035675048828,28000,1,0.91875,3472.4083709716797,28000,1,0.91875,3480.8690795898438,28000,1,0.91875,3475.7724609375,28000,1,0.91875,3506.056396484375,28000,1,0.91875,3603.509994506836,28000,1,0.91875,141975.5080718994,1985,623,623,1986,623,623,1401,1402,1401,1401,1401,623,1989,1985,623,623,623,623,623,1401,53.061222076416016,58,60.78431701660156,72,70,64,60.000003814697266,61.224491119384766,69.38775634765625,70.5882339477539,66,62,56,64,44,46,49.01960754394531,29.411766052246094,56,62,28659011584,8589930496,3436032000,0
499,1771803966987,5627.8583984375,28000,1,0.91875,6840.879150390625,28000,1,0.91875,5262.669647216797,28000,1,0.91875,6751.363510131836,28000,1,0.91875,3486.488479614258,28000,1,0.91875,3472.8524475097656,28000,1,0.91875,3481.321990966797,28000,1,0.91875,3476.21533203125,28000,1,0.91875,3506.531539916992,28000,1,0.91875,3603.972457885742,28000,1,0.91875,141983.60020446777,1985,623,623,1986,623,623,1401,1402,1401,1401,1401,623,1989,1985,623,623,623,623,623,1401,63.26530456542969,57.142860412597656,67.34693908691406,72,57.142860412597656,72.54901885986328,65.30612182617188,66,54.000003814697266,71.42857360839844,72,72,65.30612182617188,53.061222076416016,54.000003814697266,49.01960754394531,63.26530456542969,40.81632614135742,60.000003814697266,53.061222076416016,28659011584,8589930496,3401121792,0
