Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771793644626,2063.897262573242,28000,1,0.9812500000000001,3064.2266693115234,28000,1,0.9812500000000001,1744.933334350586,28000,1,0.9812500000000001,2959.0096588134766,28000,1,0.9812500000000001,1096.5442352294922,4800,2,0.9812500000000001,1069.677474975586,4800,2,0.9812500000000001,1066.418197631836,4800,2,0.9812500000000001,1058.8851470947266,4800,2,0.9812500000000001,1074.411605834961,4800,2,0.9812500000000001,1137.5225982666016,4800,2,0.9812500000000001,76007.66198730469,1984,1984,623,623,623,623,1401,1401,1401,1401,1401,1399,623,1988,623,623,623,1401,623,1401,2.857142925262451,5.555555820465088,2.777777910232544,2.777777910232544,2.702702760696411,0,2.777777910232544,2.777777910232544,5.405405521392822,2.777777910232544,2.777777910232544,2.777777910232544,2.777777910232544,2.857142925262451,2.702702760696411,2.777777910232544,5.405405521392822,2.777777910232544,2.702702760696411,5.405405521392822,28659011584,8589930496,3180503040,0
499,1771793644626,2063.898651123047,28000,1,0.9812500000000001,3064.2266845703125,28000,1,0.9812500000000001,1744.933334350586,28000,1,0.9812500000000001,2959.0106658935547,28000,1,0.9812500000000001,1096.5442504882813,4800,2,0.9812500000000001,1069.677474975586,4800,2,0.9812500000000001,1066.418197631836,4800,2,0.9812500000000001,1058.8851470947266,4800,2,0.9812500000000001,1074.411605834961,4800,2,0.9812500000000001,1137.5225982666016,4800,2,0.9812500000000001,76007.67121887207,1984,1984,623,623,623,623,1401,1401,1401,1401,1401,1399,623,1988,623,623,623,1401,623,1401,2.857142925262451,5.555555820465088,2.777777910232544,2.777777910232544,2.702702760696411,0,2.777777910232544,2.777777910232544,5.405405521392822,2.777777910232544,2.777777910232544,2.777777910232544,2.777777910232544,2.857142925262451,2.702702760696411,2.777777910232544,5.405405521392822,2.777777910232544,2.702702760696411,5.405405521392822,28659011584,8589930496,3180503040,0
499,1771793645126,2063.960159301758,28000,1,0.9812500000000001,3064.4490966796875,28000,1,0.9812500000000001,1744.9723663330078,28000,1,0.9812500000000001,2959.1659240722656,28000,1,0.9812500000000001,1096.5579986572266,4800,2,0.9812500000000001,1069.6868133544922,4800,2,0.9812500000000001,1066.4291076660156,4800,2,0.9812500000000001,1058.8916778564453,4800,2,0.9812500000000001,1074.4276428222656,4800,2,0.9812500000000001,1137.5291442871094,4800,2,0.9812500000000001,76010.23991394043,1984,1984,623,623,623,623,1401,1401,1401,1401,1401,1399,623,1988,623,623,623,1401,623,1401,7.843137741088867,11.764705657958984,6,41.17647171020508,5.882352828979492,22,4,3.9215688705444336,2,5.769230842590332,5.882352828979492,0,4,14.285715103149414,1.9607844352722168,0,0,0,1.9607844352722168,3.9215688705444336,28659011584,8589930496,3222585344,0
499,1771793645626,2064.366897583008,28000,1,0.9812500000000001,3064.9122467041016,28000,1,0.9812500000000001,1745.315689086914,28000,1,0.9812500000000001,2959.6158142089844,28000,1,0.9812500000000001,1096.7354431152344,4800,2,0.9812500000000001,1069.8728485107422,4800,2,0.9812500000000001,1066.5936889648438,4800,2,0.9812500000000001,1059.0570220947266,4800,2,0.9812500000000001,1074.596176147461,4800,2,0.9812500000000001,1137.7000579833984,4800,2,0.9812500000000001,76015.45718383789,1984,1984,623,623,623,623,1401,1401,1401,1401,1401,1399,623,1988,623,623,623,1401,623,1401,53.061222076416016,71.42857360839844,47.05882263183594,46.938777923583984,40,52.94117736816406,51.020408630371094,50,48,46.938777923583984,48,48,51.020408630371094,64,38,40,30.612245559692383,38.775508880615234,36.73469543457031,38,28659011584,8589930496,3225235456,0
499,1771793646126,2064.7352905273438,28000,1,0.9812500000000001,3065.353256225586,28000,1,0.9812500000000001,1745.646713256836,28000,1,0.9812500000000001,2960.0189208984375,28000,1,0.9812500000000001,1096.9241485595703,7800,2,0.9812500000000001,1070.0705261230469,7800,2,0.9812500000000001,1066.791030883789,7800,2,0.9812500000000001,1059.2482299804688,8000,2,0.9812500000000001,1074.7910766601563,8000,2,0.9812500000000001,1137.9058227539063,8000,2,0.9812500000000001,76020.8006439209,1984,1984,623,623,623,623,1401,1401,1401,1401,1401,1399,623,1988,623,623,623,1401,623,1401,38,45.833335876464844,55.1020393371582,60.000003814697266,52,52,45.09803771972656,42,48.979591369628906,56,47.916664123535156,55.1020393371582,35.29411697387695,57.142860412597656,52.94117736816406,50,48,30.612245559692383,47.05882263183594,51.020408630371094,28659011584,8589930496,3262545920,0
499,1771793646626,2065.2980346679688,28000,1,0.925,3065.9376678466797,28000,1,0.925,1746.2219543457031,28000,1,0.925,2960.597930908203,28000,1,0.925,1097.3361358642578,4800,2,0.9812500000000001,1070.470458984375,4800,2,0.9812500000000001,1067.193832397461,4800,2,0.9812500000000001,1059.6261596679688,4800,2,0.9812500000000001,1075.1805572509766,4800,2,0.9812500000000001,1138.3364715576172,4800,2,0.9812500000000001,76028.40711975098,1984,1984,623,623,623,623,1401,1401,1401,1401,1401,1399,623,1988,623,623,623,1401,623,1401,52,66.66667175292969,68.62745666503906,62,60.000003814697266,60.000003814697266,52,58.82353210449219,44,68,66.66667175292969,68.62745666503906,67.34693908691406,60.000003814697266,63.26530456542969,50,68,26,34.693878173828125,54.90196228027344,28659011584,8589930496,3289210880,0
499,1771793647127,2065.8864135742188,28000,1,0.91875,3066.557830810547,28000,1,0.91875,1746.8504333496094,28000,1,0.91875,2961.2191467285156,28000,1,0.91875,1097.7665710449219,28000,1,0.91875,1070.9424743652344,28000,1,0.91875,1067.6433410644531,28000,1,0.91875,1060.0877075195313,28000,1,0.91875,1075.60205078125,28000,1,0.91875,1138.787582397461,28000,1,0.91875,76036.50440979004,1984,1984,623,623,623,623,1401,1401,1401,1401,1401,1399,623,1988,623,623,623,1401,623,1401,60.78431701660156,60.000003814697266,59.18367385864258,68,74,69.38775634765625,50,70,70.5882339477539,72,68,74,62.74510192871094,55.1020393371582,56.86274719238281,64,51.020408630371094,58,37.25490188598633,42.85714340209961,28659011584,8589930496,3328335872,0
499,1771793647627,2066.5467987060547,28000,1,0.90625,3067.21875,28000,1,0.90625,1747.5139465332031,28000,1,0.90625,2961.8929443359375,28000,1,0.90625,1098.2504119873047,28000,1,0.90625,1071.396011352539,28000,1,0.90625,1068.1360321044922,28000,1,0.90625,1060.567123413086,28000,1,0.90625,1076.0976867675781,28000,1,0.90625,1139.2737426757813,28000,1,0.90625,76045.04002380371,1984,1984,623,623,623,623,1401,1401,1401,1401,1401,1399,623,1988,623,623,623,1401,623,1401,66.66667175292969,55.1020393371582,60.000003814697266,68,64,68.62745666503906,48.979591369628906,54.000003814697266,61.224491119384766,72,72,72,65.30612182617188,60.78431701660156,71.42857360839844,52,56.86274719238281,40.81632614135742,55.1020393371582,48,28659011584,8589930496,3355590656,0
499,1771793648127,2067.3228607177734,28000,1,0.91875,3068.007568359375,28000,1,0.91875,1748.2352905273438,28000,1,0.91875,2962.684066772461,28000,1,0.91875,1098.8255767822266,28000,1,0.91875,1071.957015991211,28000,1,0.91875,1068.674819946289,28000,1,0.91875,1061.120834350586,28000,1,0.91875,1076.6589050292969,28000,1,0.91875,1139.8705444335938,28000,1,0.91875,76054.81086730957,1984,1984,623,623,623,623,1401,1401,1401,1401,1401,1399,623,1988,623,623,623,1401,623,1401,62,66,66,74,64,70.5882339477539,62.74510192871094,62,56.86274719238281,72,56,68,54.000003814697266,71.42857360839844,64,57.142860412597656,56,46,66.66667175292969,62,28659011584,8589930496,3362926592,0
499,1771793648627,2067.955093383789,28000,1,0.9125,3068.6595916748047,28000,1,0.9125,1748.8960876464844,28000,1,0.9125,2963.335968017578,28000,1,0.9125,1099.298583984375,28000,1,0.9125,1072.4112548828125,28000,1,0.9125,1069.1400299072266,28000,1,0.9125,1061.6057434082031,28000,1,0.9125,1077.1396179199219,28000,1,0.9125,1140.3547058105469,28000,1,0.9125,76063.2883605957,1984,1984,623,623,623,623,1401,1401,1401,1401,1401,1399,623,1988,623,623,623,1401,623,1401,46,59.18367385864258,70,63.26530456542969,68,71.42857360839844,54.90196228027344,70,69.38775634765625,74,72,70,67.34693908691406,55.1020393371582,63.26530456542969,43.13725662231445,46,56,47.916664123535156,55.1020393371582,28659011584,8589930496,3348844544,0
