config,n,mean_J,median_J,std_J,min_J,max_J,cv_pct
brave_apple_1x,30,1260.5519,1281.8169,76.0373,1060.9137,1373.028,6.03
brave_apple_2x,30,744490.601,1589.4961,4069294.9424,1061.3986,22289988.7054,546.59
brave_spotify_1x,29,1166.9586,1142.232,138.4658,938.9058,1632.8312,11.87
brave_spotify_2x,30,1082.2995,1141.3745,140.5006,797.3809,1256.4559,12.98
chrome_apple_1x,30,1244.6925,1267.7791,83.0104,1031.6871,1340.1573,6.67
chrome_apple_2x,30,1552.2031,1594.151,136.2675,1129.8508,1654.6147,8.78
chrome_spotify_1x,30,2183.5452,2210.7069,94.2001,1876.913,2268.172,4.31
chrome_spotify_2x,30,1934.9789,1964.03,310.7198,1302.2268,2320.3495,16.06
