Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771889063993,2400,2400,2400,2400,2400,2399,2400,2400,2399,2399,2399,2399,83.33332824707031,93.33333587646484,90.625,90.32257843017578,90.625,93.33333587646484,93.33333587646484,90.32257843017578,93.54838562011719,90,90.32257843017578,86.66666412353516,29982.449157714844,100988.7592163086,154769.18267822266,6386.914855957031,16525500416,4294963200,13304442880,3890761728
500,1771889063993,2400,2400,2400,2400,2400,2399,2400,2400,2399,2399,2399,2399,83.33332824707031,93.33333587646484,90.625,90.32257843017578,90.625,93.33333587646484,93.33333587646484,90.32257843017578,93.54838562011719,90,90.32257843017578,86.66666412353516,29982.449157714844,100988.7592163086,154769.1890258789,6386.914855957031,16525500416,4294963200,13304442880,3890761728
504,1771889064493,2400,2400,2400,2400,2400,2399,2400,2400,2399,2399,2399,2399,81.63265228271484,78,85.41667175292969,86,78,88,90,90.19607543945313,81.63265228271484,90,86,84.31372833251953,29982.98846435547,101000.86553955078,154778.6489868164,6387.001525878906,16525500416,4294963200,13353590784,3890761728
499,1771889064998,2400,2400,2400,2400,2400,2399,2400,2400,2399,2399,2399,2399,90,94.11764526367188,92.30769348144531,92.1568603515625,94,98,96.07843017578125,97.91667175292969,92,98,92.1568603515625,92,29983.57342529297,101013.384765625,154788.4927368164,6387.08740234375,16525500416,4294963200,13364625408,3890761728
491,1771889065506,2400,2400,2400,2400,2400,2399,2400,2400,2399,2399,2399,2399,90,86,90,94.11764526367188,90.19607543945313,90.19607543945313,90,100,88.23529815673828,88,89.79591369628906,85.71428680419922,29984.178833007813,101025.86444091797,154798.19104003906,6387.208984375,16525500416,4294963200,13427855360,3890761728
493,1771889066006,2400,2400,2400,2400,2400,2399,2400,2400,2399,2399,2399,2399,87.7551040649414,86.2745132446289,86.2745132446289,84,86,85.71428680419922,83.67346954345703,86,86,100,84.31372833251953,86.2745132446289,29984.680053710938,101038.0541381836,154807.7303466797,6387.3232421875,16525500416,4294963200,13470404608,3890761728
494,1771889066509,2400,2400,2400,2400,2400,2399,2400,2400,2399,2399,2399,2399,86.2745132446289,85.71428680419922,90,86,87.7551040649414,84.31372833251953,86.2745132446289,86,82.35294342041016,100,86,96,29985.191345214844,101050.27117919922,154817.32989501953,6387.4005126953125,16525500416,4294963200,13518118912,3890761728
492,1771889067011,2400,2400,2400,2400,2400,2399,2400,2400,2399,2399,2399,2399,90.19607543945313,88,90,96,88.46153259277344,86,88,87.7551040649414,89.79591369628906,85.71428680419922,83.67346954345703,92,29985.720581054688,101062.70025634766,154826.90057373047,6387.6895751953125,16525500416,4294963200,13492641792,3890753536
499,1771889067504,2400,2400,2400,2400,2400,2399,2400,2400,2399,2399,2399,2399,82.97872924804688,75,87.5,93.87755584716797,85.71428680419922,85.71428680419922,85.71428680419922,88.23529815673828,83.67346954345703,84,84.31372833251953,81.63265228271484,29986.210388183594,101074.69342041016,154836.22497558594,6387.826416015625,16525500416,4294963200,13496258560,3890753536
498,1771889068006,2400,2400,2400,2400,2400,2399,2400,2400,2399,2399,2399,2399,90,90.38461303710938,84.31372833251953,94.11764526367188,90,94,90,83.67346954345703,90.19607543945313,89.79591369628906,90,90.38461303710938,29986.7216796875,101087.20568847656,154846.1083984375,6387.891784667969,16525500416,4294963200,13449146368,3890753536
491,1771889068512,2400,2400,2400,2400,2400,2399,2400,2400,2399,2399,2399,2399,84.61538696289063,82,82,100,89.79591369628906,84.31372833251953,86.2745132446289,84.31372833251953,84,84.31372833251953,86,83.67346954345703,29987.221252441406,101099.62463378906,154855.8882446289,6387.971374511719,16525500416,4294963200,13443121152,3890749440
500,1771889069005,2400,2400,2400,2400,2400,2399,2400,2400,2399,2399,2399,2399,89.58332824707031,85.71428680419922,87.7551040649414,91.66667175292969,86.2745132446289,85.71428680419922,85.41667175292969,87.7551040649414,87.7551040649414,83.33332824707031,85.41667175292969,85.71428680419922,29987.69757080078,101111.61486816406,154865.34368896484,6388.0244140625,16525500416,4294963200,13427359744,3890749440
499,1771889069505,2400,2400,2400,2400,2400,2399,2400,2400,2399,2399,2399,2399,86.79244995117188,90,90.19607543945313,100,90,92,86,87.7551040649414,89.79591369628906,76.92308044433594,88,90,29988.179626464844,101124.1078491211,154875.17504882813,6388.0968017578125,16525500416,4294963200,13434978304,3890737152
500,1771889070005,2400,2400,2400,2400,2400,2399,2400,2400,2399,2399,2399,2399,81.63265228271484,82,85.71428680419922,86.2745132446289,81.63265228271484,82,80.76922607421875,82,80.39215850830078,86.2745132446289,88,80.39215850830078,29988.692443847656,101136.23571777344,154884.61614990234,6388.244934082031,16525500416,4294963200,13429764096,3890737152
499,1771889070506,2400,2400,2400,2400,2400,2399,2400,2400,2399,2399,2399,2399,90,90,92,88,90.19607543945313,90,87.7551040649414,86.2745132446289,88,87.7551040649414,96,88.23529815673828,29989.170837402344,101148.90966796875,154894.66357421875,6388.3397216796875,16525500416,4294963200,13451739136,3890737152
