Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771797929570,3554.515151977539,28000,1,0.9812500000000001,4635.783294677734,28000,1,0.9812500000000001,3217.3863830566406,28000,1,0.9812500000000001,4536.951354980469,28000,1,0.9812500000000001,2092.308807373047,4800,2,0.9812500000000001,2071.127670288086,4800,2,0.9812500000000001,2073.023956298828,4800,2,0.9812500000000001,2067.033447265625,4800,2,0.9812500000000001,2088.066680908203,4800,2,0.9812500000000001,2166.680633544922,4800,2,0.9812500000000001,103443.83865356445,1986,1990,1986,1987,1988,1987,1402,1399,623,1402,1396,1399,623,1987,1398,1402,1402,623,1402,1402,8.333333969116211,5.882352828979492,3.0303030014038086,2.941176414489746,5.714285850524902,5.714285850524902,2.941176414489746,8.333333969116211,2.857142925262451,2.857142925262451,0,2.941176414489746,2.941176414489746,9.090909004211426,0,0,5.714285850524902,2.941176414489746,2.857142925262451,2.941176414489746,28659011584,8589930496,3233873920,0
500,1771797929570,3554.515167236328,28000,1,0.9812500000000001,4635.783950805664,28000,1,0.9812500000000001,3217.387222290039,28000,1,0.9812500000000001,4536.951354980469,28000,1,0.9812500000000001,2092.308822631836,4800,2,0.9812500000000001,2071.127685546875,4800,2,0.9812500000000001,2073.023956298828,4800,2,0.9812500000000001,2067.0337524414063,4800,2,0.9812500000000001,2088.066680908203,4800,2,0.9812500000000001,2166.680633544922,4800,2,0.9812500000000001,103443.84185791016,1986,1990,1986,1987,1988,1987,1402,1399,623,1402,1396,1399,623,1987,1398,1402,1402,623,1402,1402,8.333333969116211,5.882352828979492,3.0303030014038086,2.941176414489746,5.714285850524902,5.714285850524902,2.941176414489746,8.333333969116211,2.857142925262451,2.857142925262451,0,2.941176414489746,2.941176414489746,9.090909004211426,0,0,5.714285850524902,2.941176414489746,2.857142925262451,2.941176414489746,28659011584,8589930496,3233873920,0
499,1771797930070,3554.5867767333984,28000,1,0.9812500000000001,4635.843078613281,28000,1,0.9812500000000001,3217.418472290039,28000,1,0.9812500000000001,4537.184158325195,28000,1,0.9812500000000001,2092.3218688964844,4800,2,0.9812500000000001,2071.1529998779297,4800,2,0.9812500000000001,2073.0607299804688,4800,2,0.9812500000000001,2067.0492095947266,4800,2,0.9812500000000001,2088.083267211914,4800,2,0.9812500000000001,2166.692413330078,4800,2,0.9812500000000001,103446.33285522461,1986,1990,1986,1987,1988,1987,1402,1399,623,1402,1396,1399,623,1987,1398,1402,1402,623,1402,1402,11.764705657958984,9.803921699523926,3.9215688705444336,4,3.9215688705444336,6,1.9607844352722168,6.122448921203613,12,0,5.769230842590332,1.9607844352722168,5.882352828979492,47.05882263183594,3.9215688705444336,3.9215688705444336,0,4,3.9215688705444336,2,28659011584,8589930496,3261788160,0
499,1771797930570,3554.9671936035156,28000,1,0.9812500000000001,4636.3150634765625,28000,1,0.9812500000000001,3217.754196166992,28000,1,0.9812500000000001,4537.608047485352,28000,1,0.9812500000000001,2092.484375,4800,2,0.9812500000000001,2071.3431243896484,4800,2,0.9812500000000001,2073.2511291503906,4800,2,0.9812500000000001,2067.2440338134766,4800,2,0.9812500000000001,2088.277053833008,4800,2,0.9812500000000001,2166.8880004882813,4800,2,0.9812500000000001,103451.72052001953,1986,1990,1986,1987,1988,1987,1402,1399,623,1402,1396,1399,623,1987,1398,1402,1402,623,1402,1402,47.916664123535156,66,46,56.86274719238281,48.979591369628906,54.000003814697266,38.775508880615234,52.94117736816406,48,54.000003814697266,51.020408630371094,46.938777923583984,44,54.000003814697266,36.73469543457031,43.13725662231445,40,33.333335876464844,44.89795684814453,40.81632614135742,28659011584,8589930496,3301003264,0
499,1771797931070,3555.396453857422,28000,1,0.9125,4636.786727905273,28000,1,0.9125,3218.1766815185547,28000,1,0.9125,4538.079772949219,28000,1,0.9125,2092.704818725586,4800,2,0.9125,2071.5736236572266,4800,2,0.9125,2073.4733276367188,4800,2,0.9125,2067.47314453125,4800,2,0.9125,2088.478012084961,4800,2,0.9125,2167.1214294433594,4800,2,0.9125,103457.5414428711,1986,1990,1986,1987,1988,1987,1402,1399,623,1402,1396,1399,623,1987,1398,1402,1402,623,1402,1402,48,57.142860412597656,60.78431701660156,61.224491119384766,62,55.1020393371582,60.78431701660156,57.142860412597656,42.85714340209961,58,51.020408630371094,48,56,54.000003814697266,34,38.775508880615234,48,52.94117736816406,34,58.82353210449219,28659011584,8589930496,3298807808,0
499,1771797931571,3555.9569396972656,28000,1,0.95,4637.331100463867,28000,1,0.95,3218.768600463867,28000,1,0.95,4538.688873291016,28000,1,0.95,2093.0919036865234,28000,1,0.95,2071.9979248046875,28000,1,0.95,2073.8819885253906,28000,1,0.95,2067.8561248779297,28000,1,0.95,2088.908218383789,28000,1,0.95,2167.538848876953,28000,1,0.95,103465.18182373047,1986,1990,1986,1987,1988,1987,1402,1399,623,1402,1396,1399,623,1987,1398,1402,1402,623,1402,1402,55.1020393371582,42,60.41666793823242,66,61.224491119384766,70,66,60.000003814697266,68,67.34693908691406,70,66.66667175292969,69.38775634765625,59.18367385864258,36.73469543457031,58,42.85714340209961,28,51.020408630371094,46,28659011584,8589930496,3294543872,0
499,1771797932071,3556.5445251464844,28000,1,0.90625,4637.918731689453,28000,1,0.90625,3219.421630859375,28000,1,0.90625,4539.340362548828,28000,1,0.90625,2093.5421447753906,28000,1,0.90625,2072.465118408203,28000,1,0.90625,2074.3375244140625,28000,1,0.90625,2068.3019256591797,28000,1,0.90625,2089.375259399414,28000,1,0.90625,2167.960159301758,28000,1,0.90625,103473.29418945313,1986,1990,1986,1987,1988,1987,1402,1399,623,1402,1396,1399,623,1987,1398,1402,1402,623,1402,1402,50.98039627075195,42.85714340209961,66,70,72.54901885986328,74,70,69.38775634765625,68.62745666503906,72.54901885986328,72,51.020408630371094,73.46939086914063,70,50.98039627075195,56,49.01960754394531,46.938777923583984,58.82353210449219,48.979591369628906,28659011584,8589930496,3307020288,0
500,1771797932571,3557.212921142578,28000,1,0.91875,4638.518737792969,28000,1,0.91875,3220.1119384765625,28000,1,0.91875,4539.958724975586,28000,1,0.91875,2094.010757446289,28000,1,0.91875,2072.940704345703,28000,1,0.91875,2074.8209838867188,28000,1,0.91875,2068.778823852539,28000,1,0.91875,2089.8619842529297,28000,1,0.91875,2168.470703125,28000,1,0.91875,103481.71505737305,1986,1990,1986,1987,1988,1987,1402,1399,623,1402,1396,1399,623,1987,1398,1402,1402,623,1402,1402,60.000003814697266,40,68.62745666503906,64,72,66,63.26530456542969,68,70,54.000003814697266,70,68,70.5882339477539,49.01960754394531,54.000003814697266,47.05882263183594,54.000003814697266,62.74510192871094,52,67.34693908691406,28659011584,8589930496,3371634688,0
499,1771797933071,3557.9539489746094,28000,1,0.91875,4639.235748291016,28000,1,0.91875,3220.8512115478516,28000,1,0.91875,4540.72607421875,28000,1,0.91875,2094.5469665527344,28000,1,0.91875,2073.502700805664,28000,1,0.91875,2075.4017486572266,28000,1,0.91875,2069.367691040039,28000,1,0.91875,2090.4010162353516,28000,1,0.91875,2169.057083129883,28000,1,0.91875,103491.41142272949,1986,1990,1986,1987,1988,1987,1402,1399,623,1402,1396,1399,623,1987,1398,1402,1402,623,1402,1402,52.94117736816406,52,73.46939086914063,60.000003814697266,70,66.66667175292969,55.1020393371582,73.46939086914063,74,72,62.74510192871094,70,50,69.38775634765625,56,51.020408630371094,64.70588684082031,62,55.1020393371582,61.224491119384766,28659011584,8589930496,3385331712,0
499,1771797933571,3558.5957641601563,28000,1,0.91875,4639.845748901367,28000,1,0.91875,3221.5021362304688,28000,1,0.91875,4541.37939453125,28000,1,0.91875,2095.049118041992,28000,1,0.91875,2074.0410766601563,28000,1,0.91875,2075.9026794433594,28000,1,0.91875,2069.845703125,28000,1,0.91875,2090.898971557617,28000,1,0.91875,2169.5801544189453,28000,1,0.91875,103500.02653503418,1986,1990,1986,1987,1988,1987,1402,1399,623,1402,1396,1399,623,1987,1398,1402,1402,623,1402,1402,50,36.73469543457031,64.70588684082031,74,66.66667175292969,67.34693908691406,72.54901885986328,72.54901885986328,61.224491119384766,72,68,66,56,57.142860412597656,52,72,62,38,52.94117736816406,66,28659011584,8589930496,3382394880,0
