Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771915254494,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,20,10,25.80644989013672,33.333335876464844,13.333333969116211,10,12.90322494506836,16.129032135009766,13.333333969116211,26.666667938232422,10.344827651977539,12.90322494506836,47136.705322265625,256905.43377685547,179701.22399902344,7792.6944580078125,16525500416,4294963200,12243804160,3995615232
500,1771915254495,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,20,10,25.80644989013672,33.333335876464844,13.333333969116211,10,12.90322494506836,16.129032135009766,13.333333969116211,26.666667938232422,10.344827651977539,12.90322494506836,47136.706115722656,256905.4405517578,179701.22589111328,7792.6944580078125,16525500416,4294963200,12243804160,3995615232
500,1771915254996,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,29.411766052246094,20.833332061767578,12.5,10.204081535339355,13.72549057006836,18,14,10.204081535339355,20.40816307067871,16,14,12,47137.0400390625,256914.71069335938,179707.98992919922,7792.7197265625,16525500416,4294963200,12253143040,3995615232
499,1771915255496,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,48,50,52,46,48,48,51.020408630371094,46.938777923583984,53.84615707397461,46,60.000003814697266,44.89795684814453,47137.48077392578,256943.6728515625,179734.31396484375,7792.838928222656,16525500416,4294963200,12262408192,3995615232
499,1771915255996,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,70.83332824707031,72.54901885986328,73.07691955566406,73.46939086914063,71.42857360839844,72,74.50980377197266,72.54901885986328,67.34693908691406,71.42857360839844,76,65.38461303710938,47137.98107910156,256977.3681640625,179765.2158203125,7793.059509277344,16525500416,4294963200,12255965184,3995615232
499,1771915256496,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,78,73.46939086914063,73.46939086914063,73.46939086914063,70,77.55101776123047,75.51020050048828,74,73.46939086914063,73.07691955566406,73.46939086914063,71.42857360839844,47138.492126464844,257010.58349609375,179795.72979736328,7793.216796875,16525500416,4294963200,12281978880,3995615232
500,1771915256997,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,72.54901885986328,67.34693908691406,81.63265228271484,70.5882339477539,70,70,72,67.34693908691406,74,66.66667175292969,70,64.58332824707031,47139.02380371094,257042.384765625,179824.75659179688,7793.3809814453125,16525500416,4294963200,12329410560,3995615232
496,1771915257501,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,67.34693908691406,74.50980377197266,70.5882339477539,72,70.5882339477539,73.07691955566406,72,73.07691955566406,66,72,74.50980377197266,72,47139.53137207031,257074.46990966797,179854.03076171875,7793.6331787109375,16525500416,4294963200,12375678976,3995615232
499,1771915257997,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,68,67.34693908691406,69.38775634765625,69.38775634765625,71.42857360839844,67.34693908691406,74,69.38775634765625,67.34693908691406,70.5882339477539,69.38775634765625,69.38775634765625,47139.993896484375,257104.51989746094,179881.38604736328,7793.768615722656,16525500416,4294963200,12391579648,3995615232
500,1771915258497,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,24,20.40816307067871,33.333335876464844,26,18,22,20.40816307067871,16.32653045654297,28,20.40816307067871,24,25,47140.3359375,257114.5347290039,179888.87017822266,7793.806945800781,16525500416,4294963200,12386754560,3995615232
501,1771915258998,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,16.32653045654297,19.60784339904785,34.693878173828125,16.32653045654297,20,16,18.367347717285156,18,18,20,18.75,18.367347717285156,47140.680603027344,257123.14935302734,179894.88256835938,7793.887268066406,16525500416,4294963200,12380897280,3995611136
499,1771915259500,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,18,12.244897842407227,12.244897842407227,14,18,16.32653045654297,16.32653045654297,15.686275482177734,18,12,15.686275482177734,12,47140.99597167969,257127.9656982422,179897.1934814453,7793.9283447265625,16525500416,4294963200,12387188736,3995611136
498,1771915260001,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,12.244897842407227,15.384615898132324,14,12.244897842407227,12,10,16,12,14,14,12.244897842407227,16.32653045654297,47141.311096191406,257134.62048339844,179901.31079101563,7793.968688964844,16525500416,4294963200,12383219712,3995611136
499,1771915260500,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,19.60784339904785,31.25,12.244897842407227,14,14.285715103149414,15.686275482177734,18,16,18.367347717285156,12.244897842407227,16,15.686275482177734,47141.62371826172,257142.09576416016,179906.2700805664,7794.009033203125,16525500416,4294963200,12365701120,3995611136
499,1771915261000,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,36.73469543457031,26.530611038208008,28.846153259277344,32,56,36.73469543457031,34,32,34,32,37.25490188598633,32.65306091308594,47142.120361328125,257157.2465209961,179918.8062133789,7794.060729980469,16525500416,4294963200,12317143040,3995611136
500,1771915261500,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,36,35.29411697387695,31.25,34,50,36.73469543457031,30.612245559692383,34,39.2156867980957,32.65306091308594,34,44,47142.508056640625,257169.74267578125,179928.7490234375,7794.14306640625,16525500416,4294963200,12319727616,3995611136
499,1771915262000,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,18.367347717285156,20,24,20,43.13725662231445,22,22,22,20.833332061767578,22,22,18.367347717285156,47142.874267578125,257179.62329101563,179936.0482788086,7794.213073730469,16525500416,4294963200,12314402816,3995611136
499,1771915262500,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,27.45098114013672,24,20,19.60784339904785,20.40816307067871,24,18,30.612245559692383,22,22.448978424072266,20.40816307067871,23.52941131591797,47143.20587158203,257186.9698486328,179940.88354492188,7794.263610839844,16525500416,4294963200,12312358912,3995611136
499,1771915263000,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,30.000001907348633,18.75,18.367347717285156,21.568628311157227,22,16.32653045654297,22,20,18,23.076923370361328,18,18.75,47143.50256347656,257193.65991210938,179945.06481933594,7794.279052734375,16525500416,4294963200,12307980288,3995611136
499,1771915263500,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,16.666667938232422,16,12.244897842407227,14.285715103149414,20,14,14,20,16,16.666667938232422,16,14.285715103149414,47143.812744140625,257199.6856689453,179948.5523071289,7794.320251464844,16525500416,4294963200,12306796544,3995611136
499,1771915264000,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,15.686275482177734,12,16.98113250732422,10.204081535339355,14,8,10,13.72549057006836,16.666667938232422,15.686275482177734,12,12,47144.119079589844,257204.5932006836,179950.9630126953,7794.362243652344,16525500416,4294963200,12300935168,3995611136
499,1771915264500,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,12.5,16,14,24,18.367347717285156,12.5,14,22.448978424072266,21.153846740722656,12.244897842407227,16,14,47144.43389892578,257211.6649169922,179955.5205078125,7794.402160644531,16525500416,4294963200,12299911168,3995611136
499,1771915265000,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,19.60784339904785,18,19.60784339904785,20,19.60784339904785,18,18.367347717285156,21.568628311157227,22.448978424072266,22,18.367347717285156,20,47144.74139404297,257218.54107666016,179959.8924560547,7794.44091796875,16525500416,4294963200,12294803456,3995611136
499,1771915265501,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,46.938777923583984,51.020408630371094,46,49.01960754394531,48.979591369628906,47.05882263183594,46,48,44,46,46.938777923583984,42.85714340209961,47145.111389160156,257228.36877441406,179967.11791992188,7794.53125,16525500416,4294963200,12297588736,3995611136
499,1771915266000,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,39.2156867980957,35.29411697387695,32.65306091308594,30.612245559692383,36.73469543457031,29.16666603088379,26.530611038208008,32,30.612245559692383,38.775508880615234,33.333335876464844,34.693878173828125,47145.514404296875,257237.82525634766,179974.06884765625,7794.579406738281,16525500416,4294963200,12295598080,3995611136
499,1771915266500,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,50,46.938777923583984,54.000003814697266,50,49.01960754394531,42,41.666664123535156,43.75,49.01960754394531,52.94117736816406,46,50,47146.00085449219,257251.32470703125,179984.97674560547,7794.597961425781,16525500416,4294963200,12317990912,3995611136
500,1771915267001,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,30.000001907348633,30.000001907348633,32,32,26.530611038208008,30.000001907348633,36.53845977783203,36.53845977783203,34,30.612245559692383,30.612245559692383,31.37255096435547,47146.32116699219,257256.7723388672,179987.90747070313,7794.6396484375,16525500416,4294963200,12308455424,3995611136
499,1771915267501,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,26,24.489795684814453,26.530611038208008,22,22,22.448978424072266,22,24,24,28,25.490198135375977,24.489795684814453,47146.630310058594,257262.2745361328,179990.85229492188,7794.678405761719,16525500416,4294963200,12307152896,3995611136
476,1771915268025,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,25.490198135375977,27.77777862548828,26.923078536987305,26.41509437561035,26.923078536987305,25,23.076923370361328,25.490198135375977,25,28.846153259277344,24,30.188678741455078,47146.956604003906,257267.97039794922,179993.8921508789,7794.7216796875,16525500416,4294963200,12305272832,3995611136
478,1771915268523,4211,4351,4351,4247,4199,4210,4310,4245,4244,4200,4200,4351,25,23.52941131591797,23.52941131591797,20.40816307067871,22.448978424072266,22.448978424072266,22.916667938232422,24,26,22.916667938232422,28.846153259277344,32,47147.26593017578,257273.45556640625,179996.9227294922,7794.76416015625,16525500416,4294963200,12301664256,3995611136
