Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771917285331,4199,4199,4199,4199,4199,4199,4200,4199,4199,4199,4200,4199,16.666667938232422,10,10.344827651977539,13.793103218078613,10,16.129032135009766,10.344827651977539,12.90322494506836,20,6.896551609039307,13.333333969116211,12.90322494506836,48439.82147216797,26456.087768554688,201200.99249267578,7952.3046875,16525500416,4294963200,12072763392,3997540352
499,1771917285331,4199,4199,4199,4199,4199,4199,4200,4199,4199,4199,4200,4199,16.666667938232422,10,10.344827651977539,13.793103218078613,10,16.129032135009766,10.344827651977539,12.90322494506836,20,6.896551609039307,13.333333969116211,12.90322494506836,48439.82263183594,26456.09588623047,201200.99493408203,7952.3046875,16525500416,4294963200,12072763392,3997540352
498,1771917285832,4199,4199,4199,4199,4199,4199,4200,4199,4199,4199,4200,4199,12.244897842407227,8.163265228271484,16.98113250732422,20,8.163265228271484,8.163265228271484,26,8,18,11.764705657958984,21.568628311157227,8.163265228271484,48440.172302246094,26463.039916992188,201205.4507446289,7952.343200683594,16525500416,4294963200,12092035072,3997540352
499,1771917286331,4199,4199,4199,4199,4199,4199,4200,4199,4199,4199,4200,4199,52,50.98039627075195,52.08333206176758,48.979591369628906,61.5384635925293,54.000003814697266,62.74510192871094,53.061222076416016,50,48,51.020408630371094,54.000003814697266,48440.609436035156,26493.03253173828,201232.80493164063,7952.459045410156,16525500416,4294963200,12122808320,3997540352
500,1771917286831,4199,4199,4199,4199,4199,4199,4200,4199,4199,4199,4200,4199,70,76.47058868408203,76,74.50980377197266,69.38775634765625,69.38775634765625,71.42857360839844,70,70.83332824707031,70,72,71.42857360839844,48441.117248535156,26526.640563964844,201263.49096679688,7952.845947265625,16525500416,4294963200,12117729280,3997540352
499,1771917287332,4199,4199,4199,4199,4199,4199,4200,4199,4199,4199,4200,4199,70,65.30612182617188,71.42857360839844,74,64,70.5882339477539,73.46939086914063,70,70.5882339477539,74,72.54901885986328,70,48441.639221191406,26559.314514160156,201293.2719116211,7953.167907714844,16525500416,4294963200,12135530496,3997540352
499,1771917287832,4199,4199,4199,4199,4199,4199,4200,4199,4199,4199,4200,4199,70.5882339477539,74,74.50980377197266,72.91667175292969,70,82.35294342041016,76.92308044433594,72,72.54901885986328,74,71.42857360839844,70,48442.168701171875,26591.527465820313,201322.6820678711,7953.385009765625,16525500416,4294963200,12174778368,3997540352
499,1771917288332,4199,4199,4199,4199,4199,4199,4200,4199,4199,4199,4200,4199,73.46939086914063,75.51020050048828,78,74,74,69.38775634765625,73.46939086914063,76,75.51020050048828,76,78.4313735961914,74.50980377197266,48442.67999267578,26623.024353027344,201351.40380859375,7953.5894775390625,16525500416,4294963200,12203368448,3997540352
500,1771917288832,4199,4199,4199,4199,4199,4199,4200,4199,4199,4199,4200,4199,68,66,70,67.34693908691406,74.50980377197266,70.5882339477539,64,71.42857360839844,65.30612182617188,66,67.34693908691406,70,48443.153869628906,26652.947631835938,201378.61767578125,7953.7520751953125,16525500416,4294963200,12207636480,3997540352
499,1771917289333,4199,4199,4199,4199,4199,4199,4200,4199,4199,4199,4200,4199,23.076923370361328,17.307693481445313,14,17.307693481445313,20,12.5,14.285715103149414,14,17.647058486938477,15.686275482177734,14.583333015441895,22,48443.470458984375,26661.2177734375,201384.3319091797,7953.795471191406,16525500416,4294963200,12203524096,3997540352
