Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771821971436,7740.553726196289,28000,1,0.78125,9259.458557128906,28000,1,0.78125,7284.195037841797,28000,1,0.78125,9171.919631958008,28000,1,0.78125,4789.891326904297,4800,2,0.78125,4774.271530151367,4800,2,0.78125,4790.748107910156,4800,2,0.78125,4785.517669677734,4800,2,0.78125,4835.083084106445,4800,2,0.78125,4958.080368041992,4800,2,0.78125,208163.37559509277,1990,1987,1993,1989,623,1989,1401,1398,623,623,623,623,1985,1988,1401,1401,1398,1399,1400,1399,6.060606002807617,3.125,3.0303030014038086,6.060606002807617,3.0303030014038086,5.882352828979492,5.882352828979492,6.060606002807617,0,3.0303030014038086,0,0,3.125,6.25,3.0303030014038086,3.0303030014038086,0,3.0303030014038086,6.060606002807617,6.25,28659011584,8589930496,2845089792,0
500,1771821971437,7740.554061889648,28000,1,0.5375000000000001,9259.45881652832,28000,1,0.5375000000000001,7284.1951904296875,28000,1,0.5375000000000001,9171.921310424805,28000,1,0.5375000000000001,4789.891342163086,4800,2,0.5375000000000001,4774.272323608398,4800,2,0.5375000000000001,4790.748123168945,4800,2,0.5375000000000001,4785.517684936523,4800,2,0.5375000000000001,4835.083099365234,4800,2,0.5375000000000001,4958.080383300781,4800,2,0.5375000000000001,208163.3836364746,1990,1987,1993,1989,623,1989,1401,1398,623,623,623,623,1985,1988,1401,1401,1398,1399,1400,1399,6.060606002807617,3.125,3.0303030014038086,6.060606002807617,3.0303030014038086,5.882352828979492,5.882352828979492,6.060606002807617,0,3.0303030014038086,0,0,3.125,6.25,3.0303030014038086,3.0303030014038086,0,3.0303030014038086,6.060606002807617,6.25,28659011584,8589930496,2845089792,0
499,1771821971937,7740.610641479492,28000,1,0.9812500000000001,9259.530731201172,28000,1,0.9812500000000001,7284.228713989258,28000,1,0.9812500000000001,9171.955093383789,28000,1,0.9812500000000001,4789.905563354492,4800,2,0.9812500000000001,4774.282257080078,4800,2,0.9812500000000001,4790.7503662109375,4800,2,0.9812500000000001,4785.5316162109375,4800,2,0.9812500000000001,4835.098922729492,4800,2,0.9812500000000001,4958.085357666016,4800,2,0.9812500000000001,208165.6330718994,1990,1987,1993,1989,623,1989,1401,1398,623,623,623,623,1985,1988,1401,1401,1398,1399,1400,1399,3.9215688705444336,7.843137741088867,7.692307949066162,3.9215688705444336,4,2,0,4.081632614135742,0,0,7.692307949066162,3.846153974533081,2,6.122448921203613,4,0,1.9607844352722168,2,2,0,28659011584,8589930496,2846048256,0
499,1771821972437,7740.780212402344,28000,1,0.9875,9259.799423217773,28000,1,0.9875,7284.346710205078,28000,1,0.9875,9172.146026611328,28000,1,0.9875,4789.971252441406,4800,2,0.9875,4774.3656005859375,4800,2,0.9875,4790.815216064453,4800,2,0.9875,4785.597366333008,4800,2,0.9875,4835.157745361328,4800,2,0.9875,4958.144393920898,4800,2,0.9875,208168.67764282227,1990,1987,1993,1989,623,1989,1401,1398,623,623,623,623,1985,1988,1401,1401,1398,1399,1400,1399,24,34.693878173828125,20.40816307067871,28.571430206298828,22,20,16.32653045654297,25.490198135375977,23.076923370361328,21.568628311157227,18,14,15.686275482177734,30.612245559692383,15.686275482177734,18,18,16.32653045654297,16,19.60784339904785,28659011584,8589930496,2885627904,0
499,1771821972937,7741.113372802734,28000,1,0.9875,9260.183731079102,28000,1,0.9875,7284.687164306641,28000,1,0.9875,9172.549819946289,28000,1,0.9875,4790.1517333984375,4800,2,0.9875,4774.565673828125,4800,2,0.9875,4790.984725952148,4800,2,0.9875,4785.782180786133,4800,2,0.9875,4835.34944152832,4800,2,0.9875,4958.346267700195,4800,2,0.9875,208173.57302856445,1990,1987,1993,1989,623,1989,1401,1398,623,623,623,623,1985,1988,1401,1401,1398,1399,1400,1399,33.333335876464844,42,48,60.000003814697266,52,53.061222076416016,50,52,48.979591369628906,55.1020393371582,48,50,40,54.000003814697266,39.2156867980957,42,27.45098114013672,25.490198135375977,43.75,48.979591369628906,28659011584,8589930496,2932690944,0
500,1771821973437,7741.681533813477,28000,1,0.90625,9260.765243530273,28000,1,0.90625,7285.193954467773,28000,1,0.90625,9173.113693237305,28000,1,0.90625,4790.521926879883,28000,1,0.90625,4774.924392700195,28000,1,0.90625,4791.344741821289,28000,1,0.90625,4786.139846801758,28000,1,0.90625,4835.695343017578,28000,1,0.90625,4958.692932128906,28000,1,0.90625,208180.30995178223,1990,1987,1993,1989,623,1989,1401,1398,623,623,623,623,1985,1988,1401,1401,1398,1399,1400,1399,60.000003814697266,62.5,66,70.5882339477539,65.30612182617188,69.38775634765625,70,63.26530456542969,70,70,51.020408630371094,66,46.938777923583984,65.30612182617188,50,56,46.938777923583984,38,50.98039627075195,42,28659011584,8589930496,2983112704,0
499,1771821973938,7742.259048461914,28000,1,0.9125,9261.376159667969,28000,1,0.9125,7285.767303466797,28000,1,0.9125,9173.705978393555,28000,1,0.9125,4790.964462280273,28000,1,0.9125,4775.337646484375,28000,1,0.9125,4791.79182434082,28000,1,0.9125,4786.556747436523,28000,1,0.9125,4836.102310180664,28000,1,0.9125,4959.100479125977,28000,1,0.9125,208187.56045532227,1990,1987,1993,1989,623,1989,1401,1398,623,623,623,623,1985,1988,1401,1401,1398,1399,1400,1399,40.81632614135742,54.90196228027344,77.55101776123047,71.42857360839844,72,66.66667175292969,74,54.90196228027344,74,68,70,70.5882339477539,60.000003814697266,58,52.08333206176758,54.90196228027344,58,46.938777923583984,46,38.775508880615234,28659011584,8589930496,3000975360,0
499,1771821974438,7742.440338134766,28000,1,0.90625,9261.565063476563,28000,1,0.90625,7285.918258666992,28000,1,0.90625,9173.88803100586,28000,1,0.90625,4791.092102050781,28000,1,0.90625,4775.473098754883,28000,1,0.90625,4791.922134399414,28000,1,0.90625,4786.672348022461,28000,1,0.90625,4836.255767822266,28000,1,0.90625,4959.243026733398,28000,1,0.90625,208191.26582336426,1990,1987,1993,1989,623,1989,1401,1398,623,623,623,623,1985,1988,1401,1401,1398,1399,1400,1399,19.60784339904785,22.448978424072266,22,18.367347717285156,17.647058486938477,20,20,20,22,22,22.448978424072266,22.448978424072266,17.647058486938477,26,13.461539268493652,16.32653045654297,19.60784339904785,15.686275482177734,18.75,10,28659011584,8589930496,3017588736,0
500,1771821974938,7742.580093383789,28000,1,0.9125,9261.753494262695,28000,1,0.9125,7286.041519165039,28000,1,0.9125,9174.040496826172,28000,1,0.9125,4791.193603515625,28000,1,0.9125,4775.5499267578125,28000,1,0.9125,4792.002700805664,28000,1,0.9125,4786.755279541016,28000,1,0.9125,4836.352294921875,28000,1,0.9125,4959.3453369140625,28000,1,0.9125,208194.32568359375,1990,1987,1993,1989,623,1989,1401,1398,623,623,623,623,1985,1988,1401,1401,1398,1399,1400,1399,14,21.568628311157227,19.60784339904785,20,18.367347717285156,16.32653045654297,16,16.32653045654297,12.244897842407227,18,17.647058486938477,14.285715103149414,8.163265228271484,20,14.285715103149414,4.081632614135742,8.163265228271484,8,13.461539268493652,16,28659011584,8589930496,3017228288,0
499,1771821975438,7742.880722045898,28000,1,0.9125,9262.042831420898,28000,1,0.975,7286.319671630859,28000,1,0.975,9174.326034545898,28000,1,0.975,4791.3863525390625,28000,1,0.975,4775.732376098633,28000,1,0.975,4792.218994140625,28000,1,0.975,4786.952056884766,28000,1,0.975,4836.556884765625,28000,1,0.975,4959.561599731445,28000,1,0.95625,208198.84938049316,1990,1987,1993,1989,623,1989,1401,1398,623,623,623,623,1985,1988,1401,1401,1398,1399,1400,1399,36.73469543457031,28.571430206298828,32,34,37.25490188598633,38,26.530611038208008,21.568628311157227,34,38,34,33.333335876464844,32,28.571430206298828,28,29.411766052246094,32,22,22.916667938232422,30.612245559692383,28659011584,8589930496,3010813952,0
