Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771885691324,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,3.7037036418914795,3.7037036418914795,7.142857551574707,3.5714287757873535,3.7037036418914795,3.7037036418914795,0,10.714285850524902,7.407407283782959,10.714285850524902,3.5714287757873535,3.5714287757873535,27461.48126220703,30831.661560058594,101676.669921875,6193.3870849609375,16525500416,4294963200,13131370496,3810521088
499,1771885691324,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,3.7037036418914795,3.7037036418914795,7.142857551574707,3.5714287757873535,3.7037036418914795,3.7037036418914795,0,10.714285850524902,7.407407283782959,10.714285850524902,3.5714287757873535,3.5714287757873535,27461.48223876953,30831.669860839844,101676.67352294922,6193.3870849609375,16525500416,4294963200,13131370496,3810521088
499,1771885691824,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,11.764705657958984,11.538461685180664,8,8,2.040816307067871,7.843137741088867,19.230770111083984,5.882352828979492,10,27.08333396911621,11.764705657958984,6.122448921203613,27461.82861328125,30836.286743164063,101678.78131103516,6193.427734375,16525500416,4294963200,13131051008,3810521088
501,1771885692324,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,42.85714340209961,40,52.94117736816406,46.938777923583984,47.05882263183594,40,50,45.09803771972656,42,45.09803771972656,48.979591369628906,46,27462.233825683594,30863.582885742188,101703.52844238281,6193.488098144531,16525500416,4294963200,13158424576,3810521088
499,1771885692825,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,71.42857360839844,69.38775634765625,63.26530456542969,72,72,75.51020050048828,69.38775634765625,70.5882339477539,69.38775634765625,68,72,62,27462.748596191406,30896.86114501953,101733.93115234375,6193.781494140625,16525500416,4294963200,13172350976,3810521088
499,1771885693326,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,72.54901885986328,71.42857360839844,68.62745666503906,67.34693908691406,73.46939086914063,70.5882339477539,70,65.30612182617188,73.07691955566406,74,70.5882339477539,74.50980377197266,27463.25750732422,30928.233764648438,101762.4814453125,6194.006042480469,16525500416,4294963200,13175881728,3810521088
497,1771885693827,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,76.47058868408203,80.39215850830078,80,82,76.92308044433594,77.55101776123047,82.35294342041016,76,79.59183502197266,81.63265228271484,77.55101776123047,78,27463.796142578125,30960.751037597656,101792.30163574219,6194.1788330078125,16525500416,4294963200,13217812480,3810516992
499,1771885694326,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,77.55101776123047,75.51020050048828,77.55101776123047,74.50980377197266,75.51020050048828,74,76,66.66667175292969,70.5882339477539,74,72,73.46939086914063,27464.32257080078,30992.119506835938,101820.8662109375,6194.3782958984375,16525500416,4294963200,13245063168,3810516992
499,1771885694826,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,77.55101776123047,66,64,72.91667175292969,76,68,70,67.34693908691406,72,71.42857360839844,72,69.38775634765625,27464.78173828125,31021.84783935547,101847.82727050781,6194.553283691406,16525500416,4294963200,13228957696,3810512896
499,1771885695326,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,35.29411697387695,30.000001907348633,31.37255096435547,32,30.612245559692383,30.612245559692383,26.530611038208008,28.571430206298828,42,31.37255096435547,32.65306091308594,32.69230651855469,27465.152893066406,31036.713623046875,101860.0615234375,6194.656555175781,16525500416,4294963200,13233041408,3810512896
499,1771885695826,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,22,20.833332061767578,16.32653045654297,18,17.647058486938477,19.60784339904785,14.285715103149414,17.647058486938477,18.367347717285156,16,16,14.285715103149414,27465.465087890625,31044.09002685547,101864.9144897461,6194.697998046875,16525500416,4294963200,13227700224,3810512896
499,1771885696326,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,26.530611038208008,21.153846740722656,23.52941131591797,20,20,20,16.32653045654297,18,26,20,18.367347717285156,18.367347717285156,27465.835388183594,31051.889709472656,101869.92297363281,6194.990539550781,16525500416,4294963200,13216952320,3810512896
499,1771885696826,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,25,34,18.75,19.60784339904785,20,24,25,22,26,30.000001907348633,22,20,27466.169006347656,31059.698608398438,101875.16687011719,6195.0401611328125,16525500416,4294963200,13210521600,3810512896
499,1771885697326,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,19.60784339904785,12,13.72549057006836,14,12.244897842407227,16.32653045654297,16,14.285715103149414,12,13.72549057006836,12.5,17.647058486938477,27466.47967529297,31066.77716064453,101879.70501708984,6195.089782714844,16525500416,4294963200,13193003008,3810512896
499,1771885697826,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,20,16.32653045654297,21.568628311157227,20.40816307067871,20,18,20.40816307067871,24,20.40816307067871,22,19.60784339904785,22.916667938232422,27466.796752929688,31073.62939453125,101884.02893066406,6195.135498046875,16525500416,4294963200,13192953856,3810512896
499,1771885698326,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,20,20.40816307067871,16.32653045654297,20.40816307067871,16.32653045654297,20,18.367347717285156,20.40816307067871,29.411766052246094,18.367347717285156,16.32653045654297,20,27467.119689941406,31080.82647705078,101888.69940185547,6195.18115234375,16525500416,4294963200,13189246976,3810512896
499,1771885698826,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,18.367347717285156,18,16.32653045654297,19.230770111083984,20,18.367347717285156,22,26,18.75,16.32653045654297,16,23.076923370361328,27467.446166992188,31088.779724121094,101894.09869384766,6195.2239990234375,16525500416,4294963200,13186748416,3810512896
499,1771885699326,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,22.448978424072266,19.60784339904785,19.60784339904785,16.32653045654297,19.60784339904785,20,21.568628311157227,21.568628311157227,19.60784339904785,18,28,14.285715103149414,27467.777099609375,31096.185607910156,101898.95556640625,6195.288024902344,16525500416,4294963200,13191675904,3810508800
499,1771885699827,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,25.490198135375977,20.40816307067871,18.75,18.367347717285156,22,18.367347717285156,16.666667938232422,16.32653045654297,18.367347717285156,21.568628311157227,18,18,27468.087646484375,31103.211853027344,101903.47491455078,6195.32275390625,16525500416,4294963200,13188653056,3810508800
499,1771885700327,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,20.833332061767578,21.568628311157227,21.568628311157227,20,20.40816307067871,18.367347717285156,21.568628311157227,24,21.568628311157227,18.75,21.568628311157227,18.367347717285156,27468.401489257813,31110.211853027344,101907.95520019531,6195.368591308594,16525500416,4294963200,13185105920,3810508800
500,1771885700827,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,18,14.285715103149414,16,32,12,16,14.583333015441895,14.285715103149414,19.60784339904785,18,17.647058486938477,14.285715103149414,27468.719482421875,31117.863708496094,101913.08685302734,6195.4150390625,16525500416,4294963200,13180755968,3810508800
499,1771885701328,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,24,16.32653045654297,16.32653045654297,18,24,26,18,22.448978424072266,16.666667938232422,24,18,18,27469.04052734375,31125.18280029297,101917.8295288086,6195.463134765625,16525500416,4294963200,13177618432,3810508800
499,1771885701828,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,24,31.37255096435547,28.571430206298828,28,32,26.530611038208008,31.37255096435547,28,28,28.571430206298828,28,28.571430206298828,27469.344787597656,31130.3818359375,101920.51983642578,6195.502502441406,16525500416,4294963200,13172826112,3810508800
499,1771885702327,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,26,18.367347717285156,20,21.568628311157227,24.489795684814453,20,22,18.367347717285156,18.367347717285156,21.568628311157227,16.32653045654297,42.30769348144531,27469.681701660156,31138.298400878906,101925.91204833984,6195.548583984375,16525500416,4294963200,13151326208,3810508800
499,1771885702828,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,28.571430206298828,22,24,18.367347717285156,24.489795684814453,20,20,20,21.568628311157227,18.75,20,18,27470.00030517578,31145.778381347656,101930.87890625,6195.5894775390625,16525500416,4294963200,13148020736,3810508800
499,1771885703328,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,18.367347717285156,20,18,16,19.60784339904785,16.32653045654297,16,16,14,19.230770111083984,12.244897842407227,28.571430206298828,27470.35546875,31155.096801757813,101937.60766601563,6195.6378173828125,16525500416,4294963200,13143044096,3810508800
499,1771885703828,4199,4200,4199,4200,4199,4200,4200,4200,4200,4200,4199,4200,30.76923179626465,18.367347717285156,18.367347717285156,16.666667938232422,18.367347717285156,18,24.489795684814453,20.40816307067871,22,18.367347717285156,19.60784339904785,19.60784339904785,27470.674865722656,31162.07440185547,101942.07153320313,6195.6790771484375,16525500416,4294963200,13144723456,3810508800
